,IATACode,ICAOCode,Name,Countries
0,2A,,Air Astra,['BD']
1,2B,ARD,Albawings,"['AL', 'GB', 'IT']"
2,2D,AOG,Eastern Airlines,"['DO', 'US']"
3,2G,MRR,Angara Airlines,['RU']
4,2I,,Star Peru,['PE']
5,2J,VBW,Air Burkina,"['BF', 'BJ', 'CI', 'GH', 'ML', 'NE', 'SN', 'TG']"
6,2L,OAW,Helvetic Airways,"['CH', 'CY', 'ES', 'FI', 'GR', 'MK', 'TR']"
7,2M,MDV,Maya Island Air,['BZ']
8,2O,RNE,Island Air Service,['US']
9,2R,,Sunlight Express Airways,['PH']
10,2W,WLC,W2FLY,"['CU', 'DO', 'ES', 'MX']"
11,2Z,CGN,Passaredo,['BR']
12,3B,CCG,Bestfly,['CV']
13,3C,CEA,Air Chathams,"['NF', 'NZ']"
14,3H,,Air Inuit,['CA']
15,3K,JSA,Jetstar Asia,"['CN', 'ID', 'JP', 'KH', 'MY', 'PH', 'SG', 'TH']"
16,3L,ISK,Air Arabia Abu Dhabi,"['AE', 'AZ', 'BD', 'BH', 'EG', 'GE', 'IN', 'IQ', 'IR', 'JO', 'KW', 'LB', 'NP', 'OM', 'PK', 'RU', 'TR', 'UZ']"
17,3M,,Silver Airways,"['AI', 'BS', 'DM', 'DO', 'KN', 'PR', 'SX', 'US', 'VG', 'VI']"
18,3O,MAC,Air Arabia Maroc,"['BE', 'CH', 'DE', 'ES', 'FR', 'GB', 'IT', 'MA', 'NL', 'TR']"
19,3P,TNM,World 2 Fly Portugal S.A.,"['CU', 'DO', 'PT']"
20,3R,GAI,Divi Divi Air,"['AW', 'BQ', 'CW']"
21,3S,AEN,Air Antilles Express,"['BB', 'BL', 'DM', 'DO', 'GP', 'LC', 'MF', 'MQ', 'PR', 'SX']"
22,3T,URN,Tarco Aviation,"['AE', 'QA', 'SA', 'SD']"
23,3U,CSC,Sichuan Airlines,"['AE', 'AU', 'CA', 'CN', 'EG', 'HK', 'ID', 'IT', 'JP', 'KR', 'LA', 'MV', 'NP', 'RU', 'SG', 'TH', 'TR', 'TW', 'VN']"
24,4A,AKL,ATSA Airlines,['PE']
25,4B,,Boutique Air,['US']
26,4G,GZP,Gazpromavia Aviation,['RU']
27,4H,UBD,Hi Air,['KR']
28,4J,,JetAir Caribbean,"['CO', 'CW', 'JM', 'SR', 'SX']"
29,4N,ANT,Air North,['CA']
30,4T,BHP,Rise Air,['CA']
