,IATACode,Country,State,Name
0,AAN,AE,,Al Ain
1,ABC,ES,,Albacete
2,ABZ,GB,,Aberdeen
3,ADA,TR,,Adana
4,AGP,ES,,Malaga
5,ALC,ES,,Alicante
6,ALY,EG,,Alexandria
7,AMA,US,TX,Amarillo
8,AMM,JO,,Amman
9,AMS,NL,,Amsterdam
10,ANC,US,AK,Anchorage
11,ANE,FR,,Angers
12,ANK,TR,,Ankara
13,ANR,BE,,Antwerp
14,APW,WS,,Apia
15,ARD,ID,,Alor
16,ARH,RU,,Arkhangelsk
17,ATL,US,GA,Atlanta
18,AUH,AE,,Abu Dhabi
19,AUW,US,WI,Wausau
20,AVN,FR,,Avignon
21,BAK,AZ,,Baku
22,BAR,CN,,Qionghai
23,BCN,ES,,Barcelona
24,BDS,IT,,Brindisi
25,BEG,RS,,Belgrade
26,BER,DE,,Berlin
27,BFS,GB,,Belfast
28,BGO,NO,,Bergen
29,BHX,GB,,Birmingham
30,BHY,CN,,Beihai
31,BHZ,BR,MG,Belo Horizonte
32,BIM,BS,,Bimini
33,BIO,ES,,Bilbao
34,BJS,CN,,Beijing
35,BJV,TR,,Bodrum
36,BKK,TH,,Bangkok
37,BLE,SE,,Borlange/Falun
38,BLQ,IT,,Bologna
39,BOD,FR,,Bordeaux
40,BOS,US,MA,Boston
41,BPT,US,TX,Beaumont/Port Arthur
42,BRE,DE,,Bremen
43,BRI,IT,,Bari
44,BRN,CH,,Bern
45,BRQ,CZ,,Brno
46,BRS,GB,,Bristol
47,BRU,BE,,Brussels
48,BTS,SK,,Bratislava
49,BUD,HU,,Budapest
50,BUE,AR,BA,Buenos Aires
51,BUH,RO,,Bucharest
52,BZE,BZ,,Belize City
53,BZO,IT,,Bolzano/Bozen
54,CAN,CN,,Guangzhou
55,CDV,US,AK,Cordova
56,CGN,DE,,Cologne/Bonn
57,CGO,CN,,Zhengzhou
58,CGQ,CN,,Changchun
59,CHI,US,IL,Chicago
60,CIF,CN,,Chifeng
61,CKG,CN,,Chongqing
62,CLE,US,OH,Cleveland
63,CLT,US,NC,Charlotte
64,CMB,LK,,Colombo
65,CMH,US,OH,Columbus
66,CND,RO,,Constanta
67,CPH,DK,,Copenhagen
68,CSX,CN,,Changsha
69,CTU,CN,,Chengdu
70,CVG,US,OH,Cincinnati
71,CWB,BR,PR,Curitiba
72,CWL,GB,,Cardiff
73,DAX,CN,,Dazhou
74,DAY,US,OH,Dayton
75,DDG,CN,,Dandong
76,DEN,US,CO,Denver
77,DFW,US,TX,Dallas
78,DKR,SN,,Dakar
79,DLC,CN,,Dalian
80,DMM,SA,,Dammam
81,DOH,QA,,Doha
82,DOM,DM,,Dominica
83,DQA,CN,,Daqing
84,DRO,US,CO,Durango
85,DRS,DE,,Dresden
86,DSA,GB,,Doncaster/Sheffield
87,DTM,DE,,Dortmund
88,DTT,US,MI,Detroit
89,DUR,ZA,,Durban
90,DUS,DE,,Duesseldorf
91,DXB,AE,,Dubai
92,EAP,CH,,Mulhouse/Basel
93,EAS,ES,,San Sebastian
94,EBU,FR,,Saint Etienne
95,ECP,US,FL,Panama City
96,EDI,GB,,Edinburgh
97,EGE,US,CO,Vail/Eagle
98,ENH,CN,,Enshi
99,ERF,DE,,Erfurt
100,ESK,TR,,Eskisehir
101,ETH,IL,,Eilat
102,ETZ,FR,,Metz/Nancy
103,EXT,GB,,Exeter
104,FIH,CD,,Kinshasa
105,FKB,DE,,Karlsruhe/Baden-Baden
106,FLR,IT,,Florence
107,FMO,DE,,Muenster/Osnabrueck
108,FMY,US,FL,Fort Myers
109,FNA,SL,,Freetown
110,FNI,FR,,Nimes
111,FOG,IT,,Foggia
112,FRA,DE,,Frankfurt
113,FUO,CN,,Foshan
114,FYV,US,AR,Fayetteville/Springdale
115,GAO,CU,,Guantanamo
116,GCN,US,AZ,Grand Canyon
117,GDN,PL,,Gdansk
118,GEO,GY,,Georgetown
119,GLA,GB,,Glasgow
120,GLZ,NL,,Breda
121,GOA,IT,,Genoa
122,GOI,IN,GA,Goa
123,GOT,SE,,Goteborg
124,GRO,ES,,Girona
125,GRX,ES,,Granada
126,GRZ,AT,,Graz
127,GUM,GU,,Guam
128,GVA,CH,,Geneva
129,GVX,SE,,Gavle
130,GXA,ID,,Muara Teweh
131,HAJ,DE,,Hannover
132,HAM,DE,,Hamburg
